Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Rudy Gobert,24,81,81,2744,5.4,8.2,0.661,0,0,0,5.4,8.2,0.662,4.1,6.2,0.653,4.1,9.5,13.6,1.3,0.6,2.8,1.9,3.2,14.9
2,Gordon Hayward,26,73,73,2516,7.8,16.5,0.471,2.1,5.4,0.398,5.7,11.2,0.506,5.2,6.1,0.844,0.7,4.9,5.6,3.6,1,0.3,2,1.7,22.9
3,Joe Ingles,29,82,26,1972,3.7,8.2,0.452,2.2,5.1,0.441,1.5,3.1,0.471,0.9,1.2,0.735,0.4,4.3,4.8,4.1,1.8,0.1,2,3,10.6
4,Joe Johnson,35,78,14,1843,5.3,12.2,0.436,2.1,5,0.411,3.3,7.2,0.454,1.2,1.5,0.818,0.6,4.1,4.7,2.8,0.7,0.4,1.3,1.8,14
5,Rodney Hood,24,59,55,1593,6.1,15.1,0.408,2.6,6.9,0.371,3.6,8.1,0.44,2,2.6,0.783,0.4,4.2,4.6,2.2,0.9,0.2,1.5,3,16.9
6,George Hill,30,49,49,1544,6.7,14.1,0.477,2.2,5.4,0.403,4.5,8.7,0.523,3.7,4.6,0.801,0.5,3.4,3.9,4.8,1.2,0.3,2,2.7,19.3
7,Boris Diaw,34,73,33,1283,4.1,9.2,0.446,0.6,2.3,0.247,3.5,6.9,0.512,0.7,1,0.743,1.3,3.1,4.4,4.8,0.5,0.3,2.4,2.3,9.5
8,Dante Exum,21,66,26,1228,4.5,10.6,0.427,1.3,4.4,0.295,3.3,6.3,0.519,1.7,2.1,0.795,0.9,3,3.9,3.3,0.6,0.4,2.3,4.3,12.1
9,Shelvin Mack,26,55,9,1205,5.1,11.4,0.446,1.1,3.6,0.308,4,7.8,0.51,1.6,2.3,0.688,0.6,3.1,3.7,4.6,1.3,0.1,2.7,3,12.8
10,Derrick Favors,25,50,39,1186,6.2,12.7,0.487,0.1,0.3,0.3,6.1,12.4,0.491,2,3.3,0.615,2.8,6.5,9.3,1.7,1.4,1.2,1.8,3.1,14.4
11,Trey Lyles,21,71,4,1158,4.9,13.6,0.362,2,6.3,0.319,2.9,7.3,0.4,1.8,2.5,0.722,1.5,5.8,7.3,2.1,0.8,0.6,2,3,13.7
12,Alec Burks,25,42,0,653,5.5,13.7,0.399,1.4,4.2,0.329,4.1,9.5,0.43,3.3,4.3,0.769,0.9,5.7,6.6,1.7,1,0.3,1.9,2.8,15.6
13,Jeff Withey,26,51,1,432,4.6,8.6,0.534,0,0.1,0,4.6,8.5,0.539,3,4,0.75,4.3,5.7,10.1,0.6,1.3,2.7,1.2,4.3,12.2
14,Raul Neto,24,40,0,346,4.3,9.5,0.451,1,3.2,0.323,3.2,6.2,0.517,0.8,0.9,0.889,0.4,2.7,3.1,3.5,2.2,0.5,1.6,5,10.4
15,Joel Bolomboy,23,12,0,53,6.1,10.9,0.563,0.7,2.7,0.25,5.4,8.2,0.667,2,4.1,0.5,2.7,8.8,11.5,1.4,0.7,1.4,1.4,0.7,14.9
